,hd-name,folder-name,file-name,video-name
169,midMay,sf_wed_42dpf_groupA_n5_20210519,sf_wed_42dpf_groupA_n5_20210519_2021-05-19-103202-0000.raw,sf_wed_42dpf_groupA_n5_20210519_2021-05-19-103202
170,midMay,sf_wed_42dpf_groupB_n5_20210519,sf_wed_42dpf_groupB_n5_20210519_2021-05-19-111115-0000.raw,sf_wed_42dpf_groupB_n5_20210519_2021-05-19-111115
171,midMay,pa_sat_42dpf_groupA_n2_20210522,pa_sat_42dpf_groupA_n2_20210522_2021-05-22-094157-0000.raw,pa_sat_42dpf_groupA_n2_20210522_2021-05-22-094157
172,midMay,pa_sat_42dpf_groupA_n5_20210522,pa_sat_42dpf_groupA_n5_20210522_2021-05-22-094630-0000.raw,pa_sat_42dpf_groupA_n5_20210522_2021-05-22-094630
173,midMay,pa_sat_42dpf_groupB_n2_20210522,pa_sat_42dpf_groupB_n2_20210522_2021-05-22-090613-0000.raw,pa_sat_42dpf_groupB_n2_20210522_2021-05-22-090613
174,midMay,pa_sat_42dpf_groupB_n5b_20210522,pa_sat_42dpf_groupB_n5b_20210522_2021-05-22-081803-0000.raw,pa_sat_42dpf_groupB_n5b_20210522_2021-05-22-081803
175,midMay,pa_sat_42dpf_groupB_n5_20210522,pa_sat_42dpf_groupB_n5_20210522_2021-05-22-082249-0000.raw,pa_sat_42dpf_groupB_n5_20210522_2021-05-22-082249
176,midMay,sf_sun_28dpf_groupA_n5b_20210523,sf_sun_groupA_28dpf_groupA_n5b_20210523_2021-05-23-113520-0000.raw,sf_sun_groupA_28dpf_groupA_n5b_20210523_2021-05-23-113520
177,midMay,sf_sun_28dpf_groupA_n5c_20210523,sf_sun_28dpf_groupA_n5c_20210523_2021-05-23-114249-0000.raw,sf_sun_28dpf_groupA_n5c_20210523_2021-05-23-114249
178,midMay,sf_sun_28dpf_groupA_n5_20210523,sf_sun_28dpf_groupA_n5_20210523_2021-05-23-114710-0000.raw,sf_sun_28dpf_groupA_n5_20210523_2021-05-23-114710
179,midMay,sf_sun_28dpf_groupB_n5b_20210523,sf_sun_groupA_28dpf_groupB_n5b_20210523_2021-05-23-121946-0000.raw,sf_sun_groupA_28dpf_groupB_n5b_20210523_2021-05-23-121946
